Order ID,Order Date,CustomerName,State,City
X-26055,10-11-2018,Mia,Illinois,Chicago
X-25993,11-11-2018,Alexander,Texas,Houston
X-25973,12-11-2018,Evelyn,Florida,Miami
X-25923,13-11-2018,Olivia,California,Los Angeles
X-25757,14-11-2018,William,Pennsylvania,Philadelphia
X-25967,15-11-2018,Sophia,Washington,Seattle
X-25955,16-11-2018,Liam,New York,New York City
X-26093,17-11-2018,Emma,Georgia,Atlanta
X-25798,18-11-2018,Noah,Colorado,Denver
X-25602,19-11-2018,Ava,Arizona,Phoenix
X-25858,20-11-2018,James,Oregon,Portland
X-25969,21-11-2018,Isabella,Nevada,Las Vegas
X-26099,22-11-2018,Lucas,Utah,Salt Lake City
X-25997,23-11-2018,Mia,Massachusetts,Boston
X-25881,24-11-2018,Alexander,Maryland,Baltimore
X-25761,25-11-2018,Evelyn,Virginia,Richmond
X-25887,26-11-2018,Olivia,New Jersey,Newark
X-25823,27-11-2018,William,Connecticut,Hartford
X-25853,28-11-2018,Sophia,Vermont,Burlington
X-25862,29-11-2018,Liam,New Hampshire,Manchester
X-25830,30-11-2018,Emma,Maine,Portland
X-25786,01-12-2018,Noah,Florida,Orlando
X-25686,02-12-2018,Ava,Georgia,Savannah
X-26022,03-12-2018,James,Tennessee,Nashville
X-26003,04-12-2018,Isabella,Kentucky,Louisville
X-25755,05-12-2018,Lucas,Ohio,Columbus
X-25902,06-12-2018,Mia,Indiana,Indianapolis
X-25935,07-12-2018,Alexander,Michigan,Detroit
X-25797,08-12-2018,Evelyn,Wisconsin,Milwaukee
X-25639,09-12-2018,Olivia,Minnesota,Minneapolis
X-25681,10-12-2018,William,Iowa,Des Moines
X-25909,11-12-2018,Sophia,Missouri,Kansas City
X-25910,12-12-2018,Liam,Oklahoma,Oklahoma City
X-25950,13-12-2018,Emma,Texas,Austin
X-25613,14-12-2018,Noah,Louisiana,New Orleans
X-25919,15-12-2018,Ava,Arkansas,Little Rock
X-25768,16-12-2018,James,Mississippi,Jackson
X-25629,17-12-2018,Isabella,Alabama,Birmingham
X-25729,18-12-2018,Lucas,Kentucky,Lexington
X-25943,19-12-2018,Mia,South Carolina,Columbia
X-25842,20-12-2018,Alexander,North Carolina,Charlotte
X-26073,21-12-2018,Evelyn,West Virginia,Charleston
X-25778,22-12-2018,Olivia,Delaware,Wilmington
X-25717,23-12-2018,William,District of Columbia,Washington D.C.
X-26085,24-12-2018,Sophia,Rhode Island,Providence
X-26048,25-12-2018,Liam,Hawaii,Honolulu
X-25793,26-12-2018,Emma,Alaska,Anchorage
X-25656,27-12-2018,Noah,Idaho,Boise
X-25608,28-12-2018,Ava,Montana,Billings
X-25752,29-12-2018,James,Wyoming,Cheyenne
X-25779,30-12-2018,Isabella,New Mexico,Albuquerque
X-25603,31-12-2018,Lucas,Utah,Salt Lake City
X-26051,01-01-2019,Mia,Illinois,Chicago
X-25653,02-01-2019,Alexander,Texas,Houston
X-25855,03-01-2019,Evelyn,Florida,Miami
X-25762,04-01-2019,Olivia,California,Los Angeles
X-25995,05-01-2019,William,Pennsylvania,Philadelphia
X-25929,06-01-2019,Sophia,Washington,Seattle
X-26006,07-01-2019,Liam,New York,New York City
X-25697,08-01-2019,Emma,Georgia,Atlanta
X-25836,09-01-2019,Noah,Colorado,Denver
X-25601,10-01-2019,Ava,Arizona,Phoenix
X-25873,11-01-2019,James,Oregon,Portland
X-26028,12-01-2019,Isabella,Nevada,Las Vegas
X-25964,13-01-2019,Lucas,Utah,Salt Lake City
X-25676,14-01-2019,Mia,Massachusetts,Boston
X-25839,15-01-2019,Alexander,Maryland,Baltimore
X-25894,16-01-2019,Evelyn,Virginia,Richmond
X-25925,17-01-2019,Olivia,New Jersey,Newark
X-25953,18-01-2019,William,Connecticut,Hartford
X-25772,19-01-2019,Sophia,Vermont,Burlington
X-25957,20-01-2019,Liam,New Hampshire,Manchester
X-25730,21-01-2019,Emma,Maine,Portland
X-25877,22-01-2019,Noah,Florida,Orlando
X-26067,23-01-2019,Ava,Georgia,Savannah
X-25810,24-01-2019,James,Tennessee,Nashville
X-25868,25-01-2019,Isabella,Kentucky,Louisville
X-26023,26-01-2019,Lucas,Ohio,Columbus
X-25626,27-01-2019,Mia,Indiana,Indianapolis
X-25937,28-01-2019,Alexander,Michigan,Detroit
X-25610,29-01-2019,Evelyn,Wisconsin,Milwaukee
X-25777,30-01-2019,Olivia,Minnesota,Minneapolis
X-25738,31-01-2019,William,Iowa,Des Moines
X-25978,01-02-2019,Sophia,Missouri,Kansas City
X-25643,02-02-2019,Liam,Oklahoma,Oklahoma City
X-25728,03-02-2019,Emma,Texas,Austin
X-25749,04-02-2019,Noah,Louisiana,New Orleans
X-25667,05-02-2019,Ava,Arkansas,Little Rock
X-25657,06-02-2019,James,Mississippi,Jackson
X-25753,07-02-2019,Isabella,Alabama,Birmingham
X-26061,08-02-2019,Lucas,Kentucky,Lexington
X-25838,09-02-2019,Mia,South Carolina,Columbia
X-25702,10-02-2019,Alexander,North Carolina,Charlotte
X-25952,11-02-2019,Evelyn,West Virginia,Charleston
X-25666,12-02-2019,Olivia,Delaware,Wilmington
X-25675,13-02-2019,William,District of Columbia,Washington D.C.
X-25650,14-02-2019,Sophia,Rhode Island,Providence
X-25986,15-02-2019,Liam,Hawaii,Honolulu
X-25850,16-02-2019,Emma,Alaska,Anchorage
X-25898,17-02-2019,Noah,Idaho,Boise
X-25813,18-02-2019,Ava,Montana,Billings
X-25825,19-02-2019,James,Wyoming,Cheyenne
X-25954,20-02-2019,Isabella,New Mexico,Albuquerque
X-25696,21-02-2019,Lucas,Utah,Salt Lake City
X-25638,22-02-2019,Mia,Illinois,Chicago
X-25747,23-02-2019,Alexander,Texas,Houston
X-25904,24-02-2019,Evelyn,Florida,Miami
X-25852,25-02-2019,Olivia,California,Los Angeles
X-25981,26-02-2019,William,Pennsylvania,Philadelphia
X-25899,27-02-2019,Sophia,Washington,Seattle
X-25870,28-02-2019,Liam,New York,New York City
X-26040,01-03-2019,Emma,Georgia,Atlanta
X-25671,02-03-2019,Noah,Colorado,Denver
X-26100,03-03-2019,Ava,Arizona,Phoenix
