Order ID,Order Date,CustomerName,State,City
B-25854,10-11-2018,Mia,Illinois,Chicago
B-25855,11-11-2018,Alexander,Texas,Houston
B-25856,12-11-2018,Evelyn,Florida,Miami
B-25857,13-11-2018,Olivia,California,Los Angeles
B-25858,14-11-2018,William,Pennsylvania,Philadelphia
B-25859,15-11-2018,Sophia,Washington,Seattle
B-25860,16-11-2018,Liam,New York,New York City
B-25861,17-11-2018,Emma,Georgia,Atlanta
B-25862,18-11-2018,Noah,Colorado,Denver
B-25863,19-11-2018,Ava,Arizona,Phoenix
B-25864,20-11-2018,James,Oregon,Portland
B-25865,21-11-2018,Isabella,Nevada,Las Vegas
B-25866,22-11-2018,Lucas,Utah,Salt Lake City
B-25867,23-11-2018,Mia,Massachusetts,Boston
B-25868,24-11-2018,Alexander,Maryland,Baltimore
B-25869,25-11-2018,Evelyn,Virginia,Richmond
B-25870,26-11-2018,Olivia,New Jersey,Newark
B-25871,27-11-2018,William,Connecticut,Hartford
B-25872,28-11-2018,Sophia,Vermont,Burlington
B-25873,29-11-2018,Liam,New Hampshire,Manchester
B-25874,30-11-2018,Emma,Maine,Portland
B-25875,01-12-2018,Noah,Florida,Orlando
B-25876,02-12-2018,Ava,Georgia,Savannah
B-25877,03-12-2018,James,Tennessee,Nashville
B-25878,04-12-2018,Isabella,Kentucky,Louisville
B-25879,05-12-2018,Lucas,Ohio,Columbus
B-25880,06-12-2018,Mia,Indiana,Indianapolis
B-25881,07-12-2018,Alexander,Michigan,Detroit
B-25882,08-12-2018,Evelyn,Wisconsin,Milwaukee
B-25883,09-12-2018,Olivia,Minnesota,Minneapolis
B-25884,10-12-2018,William,Iowa,Des Moines
B-25885,11-12-2018,Sophia,Missouri,Kansas City
B-25886,12-12-2018,Liam,Oklahoma,Oklahoma City
B-25887,13-12-2018,Emma,Texas,Austin
B-25888,14-12-2018,Noah,Louisiana,New Orleans
B-25889,15-12-2018,Ava,Arkansas,Little Rock
B-25890,16-12-2018,James,Mississippi,Jackson
B-25891,17-12-2018,Isabella,Alabama,Birmingham
B-25892,18-12-2018,Lucas,Kentucky,Lexington
B-25893,19-12-2018,Mia,South Carolina,Columbia
B-25894,20-12-2018,Alexander,North Carolina,Charlotte
B-25895,21-12-2018,Evelyn,West Virginia,Charleston
B-25896,22-12-2018,Olivia,Delaware,Wilmington
B-25897,23-12-2018,William,District of Columbia,Washington D.C.
B-25898,24-12-2018,Sophia,Rhode Island,Providence
B-25899,25-12-2018,Liam,Hawaii,Honolulu
B-25900,26-12-2018,Emma,Alaska,Anchorage
B-25901,27-12-2018,Noah,Idaho,Boise
B-25902,28-12-2018,Ava,Montana,Billings
B-25903,29-12-2018,James,Wyoming,Cheyenne
B-25904,30-12-2018,Isabella,New Mexico,Albuquerque
B-25905,31-12-2018,Lucas,Utah,Salt Lake City
B-25906,01-01-2019,Mia,Illinois,Chicago
B-25907,02-01-2019,Alexander,Texas,Houston
B-25908,03-01-2019,Evelyn,Florida,Miami
B-25909,04-01-2019,Olivia,California,Los Angeles
B-25910,05-01-2019,William,Pennsylvania,Philadelphia
B-25911,06-01-2019,Sophia,Washington,Seattle
B-25912,07-01-2019,Liam,New York,New York City
B-25913,08-01-2019,Emma,Georgia,Atlanta
B-25914,09-01-2019,Noah,Colorado,Denver
B-25915,10-01-2019,Ava,Arizona,Phoenix
B-25916,11-01-2019,James,Oregon,Portland
B-25917,12-01-2019,Isabella,Nevada,Las Vegas
B-25918,13-01-2019,Lucas,Utah,Salt Lake City
B-25919,14-01-2019,Mia,Massachusetts,Boston
B-25920,15-01-2019,Alexander,Maryland,Baltimore
B-25921,16-01-2019,Evelyn,Virginia,Richmond
B-25922,17-01-2019,Olivia,New Jersey,Newark
B-25923,18-01-2019,William,Connecticut,Hartford
B-25924,19-01-2019,Sophia,Vermont,Burlington
B-25925,20-01-2019,Liam,New Hampshire,Manchester
B-25926,21-01-2019,Emma,Maine,Portland
B-25927,22-01-2019,Noah,Florida,Orlando
B-25928,23-01-2019,Ava,Georgia,Savannah
B-25929,24-01-2019,James,Tennessee,Nashville
B-25930,25-01-2019,Isabella,Kentucky,Louisville
B-25931,26-01-2019,Lucas,Ohio,Columbus
B-25932,27-01-2019,Mia,Indiana,Indianapolis
B-25933,28-01-2019,Alexander,Michigan,Detroit
B-25934,29-01-2019,Evelyn,Wisconsin,Milwaukee
B-25935,30-01-2019,Olivia,Minnesota,Minneapolis
B-25936,31-01-2019,William,Iowa,Des Moines
